Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status
Kovur,116,PRASHANTHI REDDY VEMIREDDY,Telugu Desam,NALLAPAREDDY PRASANNA KUMAR REDDY,Yuvajana Sramika Rythu Congress Party,54583,Result Declared
Kovvur,54,MUPPIDI VENKATESWARA RAO,Telugu Desam,TALARI VENKATA RAO,Yuvajana Sramika Rythu Congress Party,33946,Result Declared
Kuppam,175,CHANDRABABU NAIDU NARA,Telugu Desam,K.R.J. BHARATH,Yuvajana Sramika Rythu Congress Party,48006,Result Declared
Kurnool,137,T.G.BHARATH,Telugu Desam,"A. MD. IMTIAZ I.A.S., (RETD)",Yuvajana Sramika Rythu Congress Party,18876,Result Declared
Kurupam,11,JAGADEESWARI THOYAKA,Telugu Desam,PAMULA PUSHPA SREEVANI,Yuvajana Sramika Rythu Congress Party,23500,Result Declared
Macherla,101,JULAKANTI BRAHMANANDA REDDY,Telugu Desam,RAMAKRISHNAREDDY. PINNELLI,Yuvajana Sramika Rythu Congress Party,33318,Result Declared
Machilipatnam,75,KOLLU. RAVINDRA,Telugu Desam,PERNI KRISHNAMURTHY (KITTU),Yuvajana Sramika Rythu Congress Party,50242,Result Declared
Madakasira (SC),156,M.S.RAJU,Telugu Desam,IRALAKKAPPA.S.L,Yuvajana Sramika Rythu Congress Party,351,Result Declared
Madanapalle,164,M.SHAJAHAN BASHA,Telugu Desam,S.NISAR AHAMAD,Yuvajana Sramika Rythu Congress Party,5509,Result Declared
Madugula,27,BANDARU SATYANARAYANA MURTHY,Telugu Desam,ANURADHA ERLI,Yuvajana Sramika Rythu Congress Party,28026,Result Declared
Mandapeta,48,JOGESWARA RAO.V,Telugu Desam,THOTA TRIMURTHULU,Yuvajana Sramika Rythu Congress Party,44435,Result Declared
Mangalagiri,87,NARA LOKESH,Telugu Desam,MURUGUDU LAVANYA,Yuvajana Sramika Rythu Congress Party,91413,Result Declared
Mantralayam,145,Y. BALANAGI REDDY,Yuvajana Sramika Rythu Congress Party,N. RAGHAVENDRA REDDY,Telugu Desam,12805,Result Declared
Markapuram,111,KANDULA NARAYANA REDDY,Telugu Desam,ANNA RAMBABU,Yuvajana Sramika Rythu Congress Party,13979,Result Declared
Mummidivaram,43,DATLA SUBBARAJU (BUCHIBABU),Telugu Desam,PONNADA VENKATA SATISH KUMAR,Yuvajana Sramika Rythu Congress Party,38736,Result Declared
Mydukur,133,SUDHAKAR PUTTA,Telugu Desam,RAGHURAMI REDDY SETTIPALLY,Yuvajana Sramika Rythu Congress Party,20950,Result Declared
Mylavaram,82,VASANTHA VENKATA KRISHNA PRASAD,Telugu Desam,TIRAPATHIRAO SARNALA,Yuvajana Sramika Rythu Congress Party,42829,Result Declared
Nagari,170,GALI BHANU PRAKASH,Telugu Desam,R.K. ROJA,Yuvajana Sramika Rythu Congress Party,45004,Result Declared
Nandigama (SC),83,TANGIRALA SOWMYA,Telugu Desam,MONDITOKA JAGAN MOHAN RAO,Yuvajana Sramika Rythu Congress Party,27395,Result Declared
Nandikotkur (SC),136,G JAYASURYA,Telugu Desam,DARA SUDHEER,Yuvajana Sramika Rythu Congress Party,9792,Result Declared
Nandyal,139,NASYAM MOHAMMED FAROOK,Telugu Desam,SILPA RAVI CHANDRA KISHORE REDDY,Yuvajana Sramika Rythu Congress Party,12333,Result Declared
Narasannapeta,8,BAGGU RAMANAMURTHY,Telugu Desam,KRISHNADAS DHARMANA,Yuvajana Sramika Rythu Congress Party,29371,Result Declared
Narasapuram,58,BOMMIDI NARAYANA NAYAKAR,Janasena Party,NAGARAJA VARA PRASADA RAJU MUDUNURI,Yuvajana Sramika Rythu Congress Party,49738,Result Declared
Narasaraopet,97,ARAVINDA BABU CHADALAVADA,Telugu Desam,GOPIREDDY SRINIVASA REDDY,Yuvajana Sramika Rythu Congress Party,19705,Result Declared
Narsipatnam,34,AYYANNAPATRUDU CHINTAKAYALA,Telugu Desam,UMA SANKARA GANESH PETLA,Yuvajana Sramika Rythu Congress Party,24676,Result Declared
Nellimarla,17,LOKAM NAGA MADHAVI,Janasena Party,APPALANAIDU BADDUKONDA,Yuvajana Sramika Rythu Congress Party,39829,Result Declared
Nellore City,117,NARAYANA PONGURU,Telugu Desam,KHALEEL AHAMAD MD,Yuvajana Sramika Rythu Congress Party,72489,Result Declared
Nellore Rural,118,KOTAMREDDY SRIDHAR REDDY,Telugu Desam,ADALA PRABHAKARA REDDY,Yuvajana Sramika Rythu Congress Party,34480,Result Declared
Nidadavole,55,KANDULA DURGESH,Janasena Party,G.SRINIVAS NAIDU,Yuvajana Sramika Rythu Congress Party,33304,Result Declared
Nuzvid,70,KOLUSU PARTHA SARATHY,Telugu Desam,MEKA VENKATA PRATAP APPARAO,Yuvajana Sramika Rythu Congress Party,12378,Result Declared
Ongole,108,DAMACHARLA JANARDHANA RAO,Telugu Desam,BALINENI SRINIVASA REDDY,Yuvajana Sramika Rythu Congress Party,34026,Result Declared
Paderu,29,MATSYARASA VISWESWARA RAJU,Yuvajana Sramika Rythu Congress Party,ESWARI GIDDI,Telugu Desam,19338,Result Declared
Palacole,57,DR.NIMMALA RAMANAIDU,Telugu Desam,GUDALA SRI HARI GOPALA RAO (GUDALA GOPI),Yuvajana Sramika Rythu Congress Party,67945,Result Declared
Palakonda,10,JAYAKRISHNA NIMMAKA,Janasena Party,VISWASARAYI KALAVATHI,Yuvajana Sramika Rythu Congress Party,13291,Result Declared
Palamaner,174,AMARANATHA REDDY. N,Telugu Desam,VENKATE GOWDA. N,Yuvajana Sramika Rythu Congress Party,20122,Result Declared
Palasa,2,GOUTHU SIREESHA,Telugu Desam,APPALARAJU SEEDIRI,Yuvajana Sramika Rythu Congress Party,40350,Result Declared
Pamarru (SC),77,KUMAR RAJA VARLA,Telugu Desam,ANIL KUMAR KAILE,Yuvajana Sramika Rythu Congress Party,29690,Result Declared
